,"USDA Wkly Cutout Val, Comp",,,,
Date,High - USD cwt,Low - USD cwt,Savg - USD cwt
9/4/2017 12:00:00 AM,193.6800,193.6800,193.6800
9/11/2017 12:00:00 AM,193.3100,193.3100,193.3100
9/18/2017 12:00:00 AM,193.8600,193.8600,193.8600
9/25/2017 12:00:00 AM,194.4400,194.4400,194.4400
10/2/2017 12:00:00 AM,194.4000,194.4000,194.4000
10/9/2017 12:00:00 AM,195.5200,195.5200,195.5200
10/16/2017 12:00:00 AM,196.0800,196.0800,196.0800
10/23/2017 12:00:00 AM,198.8000,198.8000,198.8000
10/30/2017 12:00:00 AM,201.7900,201.7900,201.7900
11/6/2017 12:00:00 AM,205.7700,205.7700,205.7700
11/13/2017 12:00:00 AM,204.2700,204.2700,204.2700
11/20/2017 12:00:00 AM,204.4500,204.4500,204.4500
11/27/2017 12:00:00 AM,203.5000,203.5000,203.5000
12/4/2017 12:00:00 AM,201.2500,201.2500,201.2500
12/11/2017 12:00:00 AM,199.1700,199.1700,199.1700
12/18/2017 12:00:00 AM,196.6300,196.6300,196.6300
12/25/2017 12:00:00 AM,198.4600,198.4600,198.4600
1/1/2018 12:00:00 AM,204.3000,204.3000,204.3000
1/8/2018 12:00:00 AM,207.2500,207.2500,207.2500
1/15/2018 12:00:00 AM,205.4600,205.4600,205.4600
1/22/2018 12:00:00 AM,206.6100,206.6100,206.6100
1/29/2018 12:00:00 AM,207.5100,207.5100,207.5100
2/5/2018 12:00:00 AM,209.2000,209.2000,209.2000
2/12/2018 12:00:00 AM,206.9300,206.9300,206.9300
2/19/2018 12:00:00 AM,212.8200,212.8200,212.8200
2/26/2018 12:00:00 AM,216.8000,216.8000,216.8000
3/5/2018 12:00:00 AM,220.6700,220.6700,220.6700
3/12/2018 12:00:00 AM,220.9500,220.9500,220.9500
3/19/2018 12:00:00 AM,222.5500,222.5500,222.5500
3/26/2018 12:00:00 AM,218.4900,218.4900,218.4900
4/2/2018 12:00:00 AM,214.5900,214.5900,214.5900
4/9/2018 12:00:00 AM,211.9700,211.9700,211.9700
4/16/2018 12:00:00 AM,210.8900,210.8900,210.8900
4/23/2018 12:00:00 AM,212.3800,212.3800,212.3800
4/30/2018 12:00:00 AM,217.7400,217.7400,217.7400
5/7/2018 12:00:00 AM,222.7200,222.7200,222.7200
5/14/2018 12:00:00 AM,221.7000,221.7000,221.7000
5/21/2018 12:00:00 AM,221.5200,221.5200,221.5200
5/28/2018 12:00:00 AM,218.8900,218.8900,218.8900
6/4/2018 12:00:00 AM,218.5400,218.5400,218.5400
6/11/2018 12:00:00 AM,216.5100,216.5100,216.5100
6/18/2018 12:00:00 AM,212.8900,212.8900,212.8900
6/25/2018 12:00:00 AM,209.2400,209.2400,209.2400
7/2/2018 12:00:00 AM,207.5300,207.5300,207.5300
7/9/2018 12:00:00 AM,203.8000,203.8000,203.8000
7/16/2018 12:00:00 AM,202.8400,202.8400,202.8400
7/23/2018 12:00:00 AM,203.7600,203.7600,203.7600
7/30/2018 12:00:00 AM,203.5600,203.5600,203.5600
8/6/2018 12:00:00 AM,203.7000,203.7000,203.7000
8/13/2018 12:00:00 AM,204.6000,204.6000,204.6000
8/20/2018 12:00:00 AM,207.7300,207.7300,207.7300
8/27/2018 12:00:00 AM,207.7800,207.7800,207.7800
9/3/2018 12:00:00 AM,206.4400,206.4400,206.4400
9/10/2018 12:00:00 AM,203.6900,203.6900,203.6900
9/17/2018 12:00:00 AM,202.1100,202.1100,202.1100
9/24/2018 12:00:00 AM,201.1300,201.1300,201.1300
10/1/2018 12:00:00 AM,201.3000,201.3000,201.3000
10/8/2018 12:00:00 AM,201.1900,201.1900,201.1900
10/15/2018 12:00:00 AM,202.7800,202.7800,202.7800
10/22/2018 12:00:00 AM,205.8900,205.8900,205.8900
10/29/2018 12:00:00 AM,210.9700,210.9700,210.9700
11/5/2018 12:00:00 AM,212.7000,212.7000,212.7000
11/12/2018 12:00:00 AM,210.9100,210.9100,210.9100
11/19/2018 12:00:00 AM,210.7900,210.7900,210.7900
11/26/2018 12:00:00 AM,209.4300,209.4300,209.4300
12/3/2018 12:00:00 AM,209.5700,209.5700,209.5700
12/10/2018 12:00:00 AM,208.1200,208.1200,208.1200
12/17/2018 12:00:00 AM,208.9100,208.9100,208.9100
12/24/2018 12:00:00 AM,212.2500,212.2500,212.2500
12/31/2018 12:00:00 AM,215.2900,215.2900,215.2900
1/7/2019 12:00:00 AM,212.8300,212.8300,212.8300
1/14/2019 12:00:00 AM,211.2900,211.2900,211.2900
1/21/2019 12:00:00 AM,213.4300,213.4300,213.4300
1/28/2019 12:00:00 AM,216.0300,216.0300,216.0300
2/4/2019 12:00:00 AM,216.5300,216.5300,216.5300
2/11/2019 12:00:00 AM,217.9400,217.9400,217.9400
2/18/2019 12:00:00 AM,216.8800,216.8800,216.8800
2/25/2019 12:00:00 AM,218.4400,218.4400,218.4400
3/4/2019 12:00:00 AM,222.2200,222.2200,222.2200
3/11/2019 12:00:00 AM,224.7800,224.7800,224.7800
3/18/2019 12:00:00 AM,226.1500,226.1500,226.1500
3/25/2019 12:00:00 AM,227.0400,227.0400,227.0400
4/1/2019 12:00:00 AM,225.0800,225.0800,225.0800
4/8/2019 12:00:00 AM,225.7200,225.7200,225.7200
4/15/2019 12:00:00 AM,228.8800,228.8800,228.8800
4/22/2019 12:00:00 AM,229.6600,229.6600,229.6600
4/29/2019 12:00:00 AM,227.0700,227.0700,227.0700
5/6/2019 12:00:00 AM,220.2400,220.2400,220.2400
5/13/2019 12:00:00 AM,217.6400,217.6400,217.6400
5/20/2019 12:00:00 AM,215.4100,215.4100,215.4100
5/27/2019 12:00:00 AM,218.7800,218.7800,218.7800
6/3/2019 12:00:00 AM,217.6800,217.6800,217.6800
6/10/2019 12:00:00 AM,218.1500,218.1500,218.1500
6/17/2019 12:00:00 AM,215.0000,215.0000,215.0000
6/24/2019 12:00:00 AM,214.0600,214.0600,214.0600
7/1/2019 12:00:00 AM,213.7400,213.7400,213.7400
7/8/2019 12:00:00 AM,211.1300,211.1300,211.1300
